amount,term_ 36 months,rate,payment,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,length_sub 1 year,length_1 year,length_10 plus years,length_2 years,length_3 years,length_4 years,length_5 years,length_6 years,length_7 years,length_8 years,length_9 years,length_n/a,home_MORTGAGE,home_OWN,home_RENT,income,verified_Not Verified,verified_Source Verified,verified_Verified,status_Bad,reason_credit_card,reason_debt_consolidation,reason_home_improvement,reason_other,debtIncRat,delinq2yr,inq6mth,openAcc,pubRec,revolRatio,totalAcc,totalBal,totalRevLim,accOpen24,avgBal,bcOpen,bcRatio,totalLim,totalRevBal,totalBcLim,totalIlLim
4650,1,0.21,175.62,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,26844,1,0,0,0,0,0,0,1,16.41,0,0,7,0,0.16,9,5364,8700,3,766,3214,23.5,15998,5364,4200,7298
4000,1,0.13,134.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,38000,1,0,0,0,0,1,0,0,31.11,0,0,12,0,0.72,23,37366,8900,9,3114,1165,59.8,47451,37366,2900,37899
35000,1,0.24,1374.63,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,102000,0,0,1,0,0,1,0,0,28.42,0,1,15,0,0.83,43,197872,52100,7,14134,204,99.4,226953,99241,36500,67253
13000,1,0.07,400.75,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,100000,1,0,0,0,0,1,0,0,19.02,0,0,21,0,0.47,46,156250,31500,7,7813,10284,58.5,173613,156250,24800,142113
14000,1,0.2,520.22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,78000,0,0,1,0,0,0,0,1,17.23,1,4,11,0,0.53,28,121520,9400,9,11047,1483,51,136507,41488,8900,39607
11400,1,0.13,385.11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,90000,0,1,0,0,0,1,0,0,23.59,1,4,10,1,0.16,27,32960,7100,5,3662,4942,19,63371,32960,6100,56271
5000,1,0.05,150.58,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,76000,1,0,0,0,0,0,1,0,28.79,0,0,11,0,0.43,28,203432,42400,5,18494,5100,0,261116,47860,5100,62466
35000,1,0.18,1269.73,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,131500,0,0,1,0,0,1,0,0,8.78,0,0,11,0,0.7,14,59401,36880,9,5400,2830,93,78880,25714,16980,0
15000,0,0.13,341.22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,55000,0,0,1,0,1,0,0,0,14.75,1,0,12,0,0.47,30,64035,38700,6,5336,14084,54.3,84814,64035,30800,46114
1000,1,0.14,34.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,37000,0,0,1,0,0,0,1,0,9.44,0,0,6,0,0.64,8,8371,9500,2,1395,597,90.8,12136,8371,6500,2636
22400,1,0.06,681.76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,75000,0,1,0,0,1,0,0,0,17.49,0,1,13,0,0.3,22,222008,32000,0,17078,21428,30.9,268943,129315,31000,140943
7275,1,0.17,259.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20400,0,0,1,0,0,1,0,0,22.94,0,1,6,0,0.52,11,14259,7800,2,2377,356,91.9,19300,14259,4400,11500
16800,1,0.11,549.94,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,150000,0,1,0,0,1,0,0,0,21.03,0,6,11,0,0.67,28,418742,79700,6,38067,24512,67.1,466612,126668,74600,67257
6000,1,0.15,207.94,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,42000,1,0,0,0,0,1,0,0,13.26,0,1,9,0,0.4,16,17348,10700,5,2478,6339,38.5,27952,17348,10300,17252
18000,0,0.13,412.61,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,72000,0,1,0,0,0,1,0,0,10.13,0,2,10,0,0.78,16,32784,23400,4,3643,4028,81.7,44413,32784,22000,21013
10000,1,0.11,327.34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,60000,1,0,0,0,0,1,0,0,20.04,0,0,9,0,0.41,14,37968,18400,5,4219,2553,71.3,66597,37968,8900,48197
8000,1,0.09,255.04,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48000,0,1,0,0,0,1,0,0,12.63,0,0,5,0,0.76,10,19329,11500,0,3866,2368,72.5,28206,19329,8600,16706
20000,1,0.1,646.76,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,95000,0,1,0,0,0,1,0,0,15.7,0,0,16,0,0.32,56,353969,46700,11,22123,24483,32.9,403060,44419,36500,36360
17025,0,0.17,423.03,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,96000,1,0,0,0,0,1,0,0,34.91,0,0,16,0,0.72,42,409611,66500,7,29258,13329,75.1,451052,128362,53500,94336
